epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.65582,1.39662,14.9197,1.64673,0.00769,0.00556,0.00468,0.00327,1.41469,4.6109,1.73532,0.0748,0.0028,0.0028
2,13.975,1.43401,4.25364,1.70354,0.19562,0.05945,0.05378,0.03608,1.55846,3.64588,1.94712,0.0486436,0.00564357,0.00564357
3,21.0318,1.39308,3.28337,1.67264,0.19234,0.2265,0.14355,0.08983,1.37072,3.21599,1.73319,0.0224297,0.00842972,0.00842972
4,28.4165,1.3946,2.92123,1.68242,0.43036,0.04862,0.07857,0.06139,2.18568,4.24858,2.71363,0.009703,0.009703,0.009703
5,35.2045,1.30407,2.62423,1.60083,0.50741,0.24334,0.19307,0.13371,1.28736,2.48241,1.64059,0.009604,0.009604,0.009604
6,40.8896,1.32724,2.47081,1.60876,0.58308,0.26783,0.25992,0.18052,1.17273,2.24305,1.56069,0.009505,0.009505,0.009505
7,47.5716,1.30079,2.44241,1.62016,0.53507,0.27772,0.28824,0.20819,1.2575,2.37629,1.63085,0.009406,0.009406,0.009406
8,53.9056,1.32648,2.3363,1.65297,0.62158,0.27773,0.34806,0.25276,1.1542,2.15813,1.55362,0.009307,0.009307,0.009307
9,59.5019,1.26395,2.24413,1.56862,0.7215,0.26908,0.34602,0.24399,1.13213,2.18869,1.5292,0.009208,0.009208,0.009208
10,65.7725,1.24752,2.17822,1.5427,0.53083,0.46478,0.39791,0.28374,1.11672,2.04732,1.51913,0.009109,0.009109,0.009109
11,73.3969,1.25179,2.17487,1.56144,0.353,0.54501,0.37925,0.26476,1.12435,2.019,1.5142,0.00901,0.00901,0.00901
12,79.3429,1.28822,2.12483,1.59769,0.37007,0.47443,0.3545,0.25277,1.17027,2.14456,1.52645,0.008911,0.008911,0.008911
13,85.4103,1.22122,2.0748,1.55121,0.48336,0.40997,0.34815,0.24634,1.12823,2.0319,1.50407,0.008812,0.008812,0.008812
14,91.8862,1.2095,2.02824,1.51864,0.39324,0.46387,0.3569,0.25463,1.12146,2.07952,1.49677,0.008713,0.008713,0.008713
15,98.6888,1.19461,1.95574,1.51159,0.45606,0.41159,0.42889,0.3195,1.08116,2.00916,1.47423,0.008614,0.008614,0.008614
16,105.676,1.23432,1.96966,1.5632,0.6982,0.31075,0.42776,0.31018,1.14917,2.11228,1.50892,0.008515,0.008515,0.008515
17,112.462,1.18446,1.88019,1.51376,0.40975,0.52688,0.43255,0.32933,1.07759,2.01852,1.47123,0.008416,0.008416,0.008416
18,119.623,1.18743,1.85549,1.51762,0.64702,0.28134,0.36123,0.26626,1.1721,2.07852,1.57253,0.008317,0.008317,0.008317
19,125.356,1.1839,1.91256,1.53097,0.42368,0.5878,0.4625,0.3434,1.05555,1.83136,1.44758,0.008218,0.008218,0.008218
20,131.786,1.16692,1.80371,1.49798,0.5842,0.50796,0.55895,0.42252,1.01649,1.80708,1.43244,0.008119,0.008119,0.008119
21,139.361,1.16779,1.79471,1.50128,0.48787,0.42812,0.49934,0.37838,1.06275,1.91305,1.45742,0.00802,0.00802,0.00802
22,144.88,1.16289,1.82789,1.50175,0.5783,0.38631,0.44653,0.33349,1.14434,2.1165,1.49374,0.007921,0.007921,0.007921
23,153.01,1.16409,1.76112,1.49036,0.5339,0.53357,0.50098,0.38266,1.02759,1.76898,1.4178,0.007822,0.007822,0.007822
24,158.969,1.1242,1.77697,1.47705,0.51157,0.4896,0.48098,0.36471,1.04091,1.8205,1.44416,0.007723,0.007723,0.007723
25,165.166,1.11092,1.70109,1.47827,0.44479,0.55284,0.55376,0.40954,1.03727,1.73106,1.43799,0.007624,0.007624,0.007624
26,171.898,1.12367,1.73738,1.46883,0.40982,0.47021,0.48532,0.37031,1.04948,1.7306,1.47058,0.007525,0.007525,0.007525
27,189.697,1.13842,1.75691,1.46788,0.45653,0.60172,0.58346,0.4429,1.00265,1.62611,1.41233,0.007426,0.007426,0.007426
28,201.487,1.09972,1.66368,1.46969,0.43602,0.69065,0.53772,0.38761,1.03662,1.7495,1.46121,0.007327,0.007327,0.007327
29,213.225,1.13892,1.69241,1.47678,0.53572,0.46713,0.52555,0.38782,0.98506,1.64037,1.40913,0.007228,0.007228,0.007228
30,224.012,1.14167,1.67456,1.47332,0.55791,0.38942,0.51008,0.37803,1.00952,1.70488,1.40982,0.007129,0.007129,0.007129
31,231.794,1.12667,1.62824,1.45254,0.67302,0.43571,0.54354,0.40547,0.97786,1.6165,1.38736,0.00703,0.00703,0.00703
32,238.457,1.0924,1.64783,1.45709,0.56939,0.45193,0.51852,0.38756,0.97669,1.69314,1.37466,0.006931,0.006931,0.006931
33,245.764,1.11411,1.60435,1.46611,0.56155,0.40622,0.48431,0.34697,1.1213,1.94695,1.48981,0.006832,0.006832,0.006832
34,253.1,1.10001,1.64967,1.4487,0.61508,0.43761,0.54917,0.41734,0.97491,1.63053,1.3665,0.006733,0.006733,0.006733
35,259.623,1.09356,1.54978,1.42736,0.43761,0.65681,0.53431,0.4061,0.97493,1.56705,1.38627,0.006634,0.006634,0.006634
