epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5693,1.02386,4.12396,1.19937,0.39165,0.18678,0.12352,0.10041,0.93322,2.75351,1.08395,0.070303,0.00329966,0.00329966
2,32.4622,1.02438,2.93832,1.14361,0.4418,0.1784,0.13212,0.09858,1.03266,2.9852,1.14856,0.0402374,0.00656733,0.00656733
3,46.9046,1.09937,2.75125,1.15702,0.48166,0.14929,0.09471,0.06583,1.29024,3.78384,1.25376,0.0101057,0.009769,0.009769
4,61.8001,1.23032,2.79663,1.21542,0.47697,0.13738,0.09981,0.06708,1.31252,3.63028,1.31301,0.009703,0.009703,0.009703
5,76.1113,1.28104,2.70159,1.26205,0.52726,0.15122,0.11271,0.0759,1.3929,4.49442,1.40085,0.009604,0.009604,0.009604
6,90.3331,1.29432,2.54373,1.26007,0.60696,0.1681,0.14756,0.11004,1.29918,3.42081,1.29222,0.009505,0.009505,0.009505
7,103.949,1.2602,2.46727,1.25207,0.63381,0.14846,0.1634,0.12037,1.29038,2.84717,1.28841,0.009406,0.009406,0.009406
8,118.175,1.23327,2.38388,1.23135,0.44876,0.18846,0.18134,0.12942,1.26683,2.61425,1.26462,0.009307,0.009307,0.009307
9,131.456,1.23381,2.3348,1.25617,0.73594,0.11758,0.15614,0.11663,1.23456,2.7928,1.25573,0.009208,0.009208,0.009208
10,146.569,1.20843,2.31535,1.22418,0.42957,0.20983,0.19227,0.14024,1.20138,2.49084,1.21584,0.009109,0.009109,0.009109
11,161.118,1.19508,2.23551,1.21587,0.70161,0.15152,0.19068,0.14441,1.20174,2.58793,1.20827,0.00901,0.00901,0.00901
12,175.174,1.17969,2.15599,1.20839,0.42973,0.1972,0.19441,0.14559,1.19978,2.43724,1.21737,0.008911,0.008911,0.008911
13,191.1,1.15029,2.07203,1.18951,0.6384,0.20335,0.22908,0.17592,1.11014,2.30294,1.17259,0.008812,0.008812,0.008812
14,205.256,1.14942,2.06766,1.19224,0.58234,0.18896,0.19407,0.14922,1.13601,2.38064,1.18451,0.008713,0.008713,0.008713
15,219.933,1.11797,1.97776,1.19271,0.52589,0.20848,0.21637,0.16769,1.11482,2.37055,1.1898,0.008614,0.008614,0.008614
16,234.528,1.08004,1.92542,1.17701,0.42458,0.2572,0.2214,0.1671,1.14465,2.38445,1.19707,0.008515,0.008515,0.008515
17,247.976,1.10616,1.89749,1.17603,0.46688,0.20201,0.19194,0.14662,1.16687,2.38584,1.23109,0.008416,0.008416,0.008416
18,262.378,1.09031,1.87452,1.17183,0.44327,0.23193,0.23463,0.18619,1.07894,2.20433,1.15826,0.008317,0.008317,0.008317
19,276.641,1.06139,1.82737,1.15214,0.63194,0.22672,0.26358,0.21062,1.0927,2.22469,1.16199,0.008218,0.008218,0.008218
20,290.763,1.05054,1.77581,1.14108,0.40981,0.24972,0.22916,0.17614,1.10207,2.22725,1.15552,0.008119,0.008119,0.008119
21,305.044,1.03194,1.72828,1.13174,0.40128,0.20112,0.22136,0.17452,1.11355,2.29394,1.17249,0.00802,0.00802,0.00802
22,319.271,1.03881,1.68484,1.13346,0.55522,0.23374,0.25369,0.20555,1.07378,2.12198,1.14312,0.007921,0.007921,0.007921
23,334.422,1.00506,1.64481,1.10614,0.53262,0.21513,0.23184,0.18378,1.10631,2.20607,1.17418,0.007822,0.007822,0.007822
24,348.972,0.98943,1.60589,1.10663,0.59589,0.23286,0.25458,0.19377,1.0743,2.12497,1.14788,0.007723,0.007723,0.007723
25,363.229,0.98064,1.49952,1.1066,0.48975,0.23918,0.25109,0.19585,1.05025,2.25292,1.15268,0.007624,0.007624,0.007624
26,376.874,0.9997,1.54117,1.10605,0.43299,0.25837,0.24278,0.19051,1.04628,2.13429,1.12694,0.007525,0.007525,0.007525
27,391.041,0.96146,1.47306,1.08921,0.5535,0.25497,0.27233,0.22601,1.01564,2.08833,1.12045,0.007426,0.007426,0.007426
28,404.902,0.95584,1.41317,1.09401,0.49038,0.25803,0.28077,0.22692,1.02395,2.08117,1.14228,0.007327,0.007327,0.007327
29,418.646,0.93687,1.42426,1.0835,0.47964,0.23573,0.2566,0.21109,0.99226,2.1451,1.10668,0.007228,0.007228,0.007228
30,432.931,0.92979,1.35422,1.07803,0.46346,0.27062,0.26212,0.20711,1.03229,2.16688,1.13266,0.007129,0.007129,0.007129
