epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4167,1.04437,4.59745,1.16753,0.32812,0.12516,0.07336,0.06096,0.88179,3.09463,1.02877,0.0704225,0.00328638,0.00328638
2,21.1053,0.96349,3.29413,1.0988,0.36912,0.1048,0.09561,0.08383,0.95927,3.03298,1.06583,0.040357,0.00655418,0.00655418
3,33.4477,1.09008,3.15164,1.13246,0.37649,0.17232,0.08055,0.06529,1.14452,4.13634,1.16957,0.0102255,0.00975598,0.00975598
4,42.7224,1.21544,3.14482,1.19714,0.60922,0.06805,0.0612,0.04917,1.48862,6.42025,1.36161,0.009703,0.009703,0.009703
5,52.7277,1.25559,2.996,1.21052,0.41925,0.11466,0.09237,0.07475,1.29568,4.15245,1.25635,0.009604,0.009604,0.009604
6,61.9404,1.28066,2.9617,1.22976,0.32163,0.071,0.05407,0.04014,1.31062,3.48178,1.31874,0.009505,0.009505,0.009505
7,71.1384,1.28528,2.79579,1.23606,0.44501,0.13087,0.08273,0.05844,1.37372,3.36366,1.28813,0.009406,0.009406,0.009406
8,80.4427,1.26672,2.74263,1.21325,0.3008,0.14882,0.05228,0.03638,1.35086,4.08173,1.26921,0.009307,0.009307,0.009307
9,89.6954,1.24518,2.70113,1.21321,0.26836,0.11397,0.07617,0.05851,1.28939,3.90218,1.27563,0.009208,0.009208,0.009208
10,99.0454,1.23359,2.56171,1.2067,0.35865,0.10004,0.0434,0.03158,1.35245,4.15229,1.24866,0.009109,0.009109,0.009109
11,108.285,1.19408,2.52207,1.1863,0.41127,0.14211,0.09093,0.0672,1.31085,3.23237,1.21299,0.00901,0.00901,0.00901
12,117.534,1.16807,2.42902,1.17579,0.35277,0.1695,0.1234,0.09187,1.29986,2.87847,1.21435,0.008911,0.008911,0.008911
13,127.249,1.21255,2.38054,1.19311,0.38721,0.13275,0.08231,0.06551,1.39073,4.32171,1.2434,0.008812,0.008812,0.008812
14,136.345,1.14621,2.30665,1.15664,0.34653,0.12483,0.09887,0.07473,1.21229,3.04565,1.19684,0.008713,0.008713,0.008713
